Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
Lollipop,Darell,7/28/2023,USSD12300307,94,"275,349,653","347,506,860","4,767,676,439","5,101,044",,"1,245,874"
La Diabla,Xavi,12/2/2023,USA2P2357356,95,"649,404,552","433,839,212","10,603,563","22,603,598",,"1,380,069"
Boy's a Liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,"851,085,705","211,810,152","8,781,020,473","10,207,007","13,896,129","2,580,691"
Snooze,SZA,12/9/2022,USRC12204591,97,"1,013,350,808","390,677,417","887,803,828","74,611,167","17,702,595","3,129,609"
BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,"359,803,580","369,321,334","874,056,250","20,058,510",,"1,002,835"
Agora Hills,Doja Cat,9/22/2023,USRC12301954,99,"509,653,100","48,045,203","544,437,406","23,110,274",,"4,295,361"
Prada,cassï¿½,8/11/2023,GBCEN2300147,100,"609,699,748","47,611,547","1,090,501,901","1,210,830","25,956,265",
Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,101,"5,157,486","1,278,618","3,900,000",,,"47,658"
Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,"242,070,373","22,907,992","3,832,221,658","84,425,715","670,026","2,219,984"
MONACO,Bad Bunny,10/13/2023,QMFME2364182,103,"478,150,858","113,379,734","2,111,289,492","17,823,388","4,374,049","2,255,465"
Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,"61,382,407","9,977,490","147,837,262",,,"3,819,161"
(It Goes Like) Nanana - Edit,Peggy Gou,6/15/2023,GBBKS2300080,105,"460,156,070","8,183,226","1,032,799,567","1,132,923","9,451,176","9,279,625"
Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,"251,153,869","66,691,067","431,390,500","10,305,245","776,717","2,047,771"
Type Shit,Future,3/22/2024,USSM12402033,107,"205,206,688","39,453,253",,"5,897,303","7,571,301","900,933"
Armageddon,aespa,5/27/2024,KRA302400093,108,"32,942,304","57,861,795",,"21,869","139,164","29,736"
The Box,Roddy Ricch,12/6/2019,USAT21906978,109,"1,911,559,785","441,257,231","4,574,447,121","295,741,432","168,458,097","11,988,760"
